Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2014,The Rewrite,13.556,477,below_avg,Romance
2014,The Rewrite,13.556,477,below_avg,Comedy
2016,"Kiki, Love to Love",13.555,311,below_avg,Comedy
2016,"Kiki, Love to Love",13.555,311,below_avg,Romance
2004,The Final Cut,13.555,539,below_avg,Drama
2004,The Final Cut,13.555,539,below_avg,Mystery
2004,The Final Cut,13.555,539,below_avg,Science Fiction
2004,The Final Cut,13.555,539,below_avg,Thriller
1993,Sommersby,13.55,281,below_avg,Drama
1993,Sommersby,13.55,281,below_avg,Thriller
1993,Sommersby,13.55,281,below_avg,Mystery
1993,Sommersby,13.55,281,below_avg,Romance
2009,The Soloist,13.549,615,average,Drama
2009,The Soloist,13.549,615,average,Music
1987,Prince of Darkness,13.549,683,average,Horror
2019,Life Like,13.547,161,below_avg,Thriller
